T0	T1	T2	T3	T4	T5	T6	GENE
-0.73	-0.75	-0.7	-0.35	-0.47	2.04	0.95	YIL113W
-0.69	-0.35	-0.54	-0.81	-0.41	0.56	2.23	YIL125W
0.94	0.86	0.8	0.18	0.2	-1.15	-1.83	YIL133C
-1.22	-0.72	-0.38	-0.71	0.39	1.92	0.72	YIL136W
0.93	0.77	0.45	0.27	0.47	-0.79	-2.1	YIL148W
-0.85	-0.49	-0.05	-0.5	-0.87	2.16	0.6	YIL162W
-1.16	-0.94	-0.04	-0.28	-0.51	1.74	1.19	YIR038C
-1.13	-1.48	-0.09	0.3	-0.21	1.29	1.32	YIR039C
-0.78	-0.62	0.04	-0.5	-0.93	0.68	2.11	YJL045W
1.1	1.03	0.99	-0.33	-0.18	-0.99	-1.62	YJL050W
-0.89	-0.6	-0.69	-0.61	-0.34	1.65	1.48	YJL067W
1.34	1.02	1.02	-0.66	-0.53	-1.15	-1.04	YJL069C
-1.95	-0.82	0.28	-0.05	0.71	1.3	0.52	YJL079C
1.09	0.82	0.44	0.34	0.22	-0.93	-1.98	YJL080C
-0.82	-0.58	-0.49	-0.45	-0.5	0.64	2.21	YJL089W
-1.01	-0.6	-0.68	-0.58	-0.2	1.35	1.72	YJL103C
0.91	1.01	0.88	-0.07	0	-1.93	-0.81	YJL109C
1.06	0.9	0.72	0.18	0.13	-1.59	-1.4	YJL111W
1.03	0.86	1.09	-0.18	-0.06	-1.03	-1.71	YJL122W
0.82	0.51	0.98	0.54	0.09	-0.98	-1.96	YJL136C
-0.6	-0.42	-0.19	-0.45	-1.23	0.9	1.98	YJL137C
0.86	0.74	1.04	0.37	-0.06	-1.17	-1.77	YJL138C
-1.03	-0.3	-0.34	-0.74	-0.57	1.93	1.05	YJL141C
-0.91	-0.96	-0.18	-0.26	-0.56	2.03	0.84	YJL144W
0.98	0.62	1.07	-0.03	0.05	-0.68	-2.01	YJL148W
-0.87	-0.63	-0.52	-0.77	-0.23	1.94	1.08	YJL151C
-1.16	-0.44	0.27	-0.53	-1	1.5	1.36	YJL153C
-1.37	-0.77	-0.14	-0.48	-0.15	1.53	1.38	YJL155C
0.59	0.77	0.56	0.55	0.66	-1.36	-1.78	YJL157C
-0.69	-0.88	-0.6	-0.45	-0.52	1.6	1.54	YJL161W
-0.66	-0.73	-0.57	-0.39	-0.65	0.92	2.07	YJL163C
-1.19	-1.28	-0.34	0.73	-0.34	1.57	0.85	YJL164C
1.02	0.82	0.83	0.26	0.06	-1.26	-1.72	YJL177W
0.99	0.82	0.76	0.3	0.12	-1.14	-1.83	YJL183W
0.74	0	0.81	0.7	0.43	-0.85	-1.84	YJL188C
1.13	0.34	0.63	0.29	0.63	-1.2	-1.81	YJL189W
0.67	0.34	0.91	0.65	0.45	-1.04	-1.98	YJL190C
1.9	0.88	-0.07	-0.51	-0.39	-0.37	-1.44	YJL194W
1.72	1.26	-0.62	-0.97	-0.9	-0.55	0.07	YJL195C
0.83	1	1.08	0.06	-0.14	-1.66	-1.17	YJR003C
-1	-0.59	0.19	-0.28	-1.19	1.56	1.31	YJR008W
1.05	1.21	0.8	-0.2	-0.15	-1.52	-1.19	YJR016C
1.3	0.54	0.94	0.08	0	-1.41	-1.46	YJR041C
-0.75	-0.86	-0.58	-0.69	-0.13	1.09	1.92	YJR048W
1.37	0.98	0.49	0.2	-0.39	-0.99	-1.66	YJR054W
1.11	0.53	0.91	0.26	-0.2	-0.56	-2.06	YJR063W
1.1	0.81	0.6	0.29	0.2	-1.24	-1.77	YJR071W
-1.39	-1.2	-0.33	0.01	0.42	1.58	0.91	YJR073C
-0.8	-0.55	0.03	-0.25	-1.32	1.64	1.25	YJR080C
-0.91	-0.81	0.27	-0.57	-0.6	0.48	2.13	YJR095W
-1.2	-0.57	-0.59	-0.45	0.13	2.06	0.63	YJR096W
0.45	0.68	1.54	0.24	-0.15	-1.15	-1.6	YJR105W
-0.86	-0.89	-0.58	-0.44	-0.13	0.85	2.05	YJR121W
0.8	0.79	0.87	0.31	0.28	-1.2	-1.84	YJR123W
0.9	0.88	0.55	0.2	0.36	-0.86	-2.05	YJR145C
-0.14	-0.43	-0.68	-0.89	-0.92	1.58	1.48	YJR155W
0.77	0.65	0.76	0.49	0.23	-0.77	-2.13	YKL006W
1	0.66	1.06	0.26	-0.07	-1.18	-1.73	YKL009W
-0.69	-0.82	-0.71	-0.64	-0.25	1.71	1.4	YKL016C
-0.82	-0.79	-0.66	-0.5	-0.31	1.84	1.24	YKL026C
-1.27	-0.74	-0.27	0.31	-0.27	2.14	0.09	YKL035W
0.72	0.65	0.87	0.46	0.41	-1.76	-1.35	YKL057C
1.42	-0.64	-0.67	-0.17	-0.26	1.57	-1.24	YKL061W
0.93	0.77	1.05	0.53	-0.5	-1.33	-1.45	YKL076C
0.94	1	1.07	-0.68	-0.46	-0.05	-1.82	YKL078W
1.04	0.79	0.94	-0.02	0.19	-1.33	-1.61	YKL081W
1.22	0.92	0.91	-0.27	-0.09	-1.06	-1.62	YKL082C
-1.02	-1.04	-0.79	-0.21	0.19	1.58	1.3	YKL085W
-0.82	-0.27	-0.29	-0.71	-0.98	1.57	1.49	YKL093W
-1.12	-0.15	0.98	1.33	0.91	-0.61	-1.34	YKL096W
-1.38	-0.8	-0.67	-0.16	0.39	1.75	0.87	YKL103C
1.65	0.86	0.36	-0.41	-1.11	0.05	-1.41	YKL106W
-1.13	-0.27	1.06	0.51	1.08	0.46	-1.7	YKL108W
-0.99	-0.66	-0.22	-0.58	-0.62	1.24	1.81	YKL109W
-0.89	-1.11	-0.55	-0.39	0.05	1.05	1.85	YKL141W
-1.08	-0.7	-0.7	-0.37	0.29	2.11	0.45	YKL142W
-1.09	-0.82	-0.47	-0.67	0.07	1.51	1.48	YKL148C
-0.88	-0.65	-0.85	-0.39	0	1.62	1.14	YKL150W
-1.09	-0.68	-0.29	-0.25	-0.66	1.92	1.05	YKL151C
0.98	0.81	0.59	0.4	0.25	-1.17	-1.85	YKL156W
-0.42	-0.25	0.06	-1.29	-0.98	1.52	1.35	YKL163W
1.12	0.91	0.84	0.15	-0.13	-1.39	-1.49	YKL181W
1.35	1.04	0.37	-0.75	-0.47	-1.77	0.23	YKL185W
-0.53	-0.52	-0.41	-0.7	-0.88	1.08	1.96	YKL187C
1.28	1	0.82	-0.43	-0.46	-1.76	-0.45	YKL191W
-0.69	-0.78	-0.92	-0.44	-0.09	2.02	0.9	YKL193C
-0.82	-0.58	-0.52	-0.74	-0.47	1.49	1.65	YKL217W
0.61	0.56	1.15	0.45	0.3	-1.6	-1.47	YKR013W
-1.16	-0.98	-0.32	-0.33	-0.18	1.66	1.3	YKR016W
0.81	1.03	0.94	-0.71	-1.19	0.58	-1.46	YKR024C
1.16	0.6	0.85	0.27	-0.03	-0.95	-1.9	YKR025W
1.1	0.43	0.6	0.53	0.21	-0.82	-2.06	YKR043C
1.29	0.96	0.95	-0.52	-0.31	-0.78	-1.6	YKR056W
0.94	0.49	0.85	0.53	0.19	-1.13	-1.88	YKR057W
-0.91	-0.87	-0.42	-0.32	-0.57	1.71	1.38	YKR058W
0.81	0.67	1.09	0.29	0.04	-0.98	-1.92	YKR059W
-1.15	-1.04	-0.73	-0.24	0.41	1.18	1.56	YKR067W
-0.81	-0.72	-0.31	-0.48	-0.74	1.19	1.88	YKR076W
0.86	0.65	0.77	0.37	0.44	-1.32	-1.78	YKR094C
-0.91	-0.71	-0.36	-0.33	-0.78	1.56	1.54	YLL001w
1.18	1	0.41	0.21	0.14	-1.39	-1.57	YLL004w
1.12	1.14	0.91	-0.47	-0.12	-1.15	-1.43	YLL008w
1.55	1.18	0.29	-0.55	-0.26	-0.71	-1.5	YLL012W
1.36	0.84	0.55	0.12	0	-1.53	-1.34	YLL021w
-0.91	-0.93	-0.26	-0.31	-0.48	2.06	0.83	YLL023C
-0.88	-0.88	-1.07	-0.12	0.03	1.33	1.59	YLL026w
-1.15	-1.2	-0.62	-0.07	0.27	1.34	1.41	YLL041c
1.09	0.82	0.64	0.37	0.1	-1.28	-1.72	YLL044W
0.82	0.51	0.58	0.56	0.56	-1.03	-2.01	YLL045c
1.18	0.61	0.58	0.33	0.05	-0.67	-2.08	YLL047W
1.23	0.73	0.81	0.11	0	-1.18	-1.7	YLR009W
0.74	0.49	0.76	0.65	0.38	-1.04	-1.99	YLR029c
-0.72	-0.91	-0.58	-0.96	0.27	1.2	1.7	YLR038c
0.93	0.62	0.68	0.55	0.09	-0.78	-2.09	YLR044c
0.8	0.72	0.92	0.4	0.2	-1.22	-1.82	YLR048w
0.83	0.66	0.98	0.33	0.26	-1.74	-1.31	YLR056w
0.06	0.26	0.93	0.22	1.36	-1.13	-1.7	YLR058c
0.63	1	0.77	0.18	0.21	-0.67	-2.12	YLR060w
1.04	0.64	0.8	0.23	0.32	-1.29	-1.74	YLR061W
0.83	0.61	0.71	0.33	0.56	-1.08	-1.96	YLR062C
0.73	0.48	1.74	-0.21	-0.26	-1.15	-1.34	YLR068W
1.22	0.98	1.07	-0.6	-0.29	-0.88	-1.49	YLR073C
0.83	0.55	0.71	0.67	0.26	-1.05	-1.97	YLR076C
-0.83	-0.98	-0.63	-0.22	0	1.74	0.93	YLR080W
0.71	0.57	0.96	0.48	0.39	-1.49	-1.63	YLR083c
1.25	1.11	0.37	-0.01	0.13	-1.47	-1.38	YLR084C
1.05	0.88	-1.06	-1.42	0.39	1.03	-0.87	YLR109W
0.83	0.78	0.89	0.23	0.25	-1.89	-1.1	YLR129w
0.82	1.08	0.84	0.25	-0.12	-1.1	-1.78	YLR134w
-0.88	-0.77	-0.83	-0.17	-0.42	1.44	1.64	YLR149C
-0.83	0	-0.78	-0.46	-0.71	1.63	1.15	YLR164W
-0.95	-0.32	-0.29	-0.61	-0.9	1.53	1.54	YLR168C
-0.69	-0.84	0.02	-0.49	-0.71	0.51	2.19	YLR174W
0.72	0.87	1.15	0.08	-0.01	-0.93	-1.88	YLR175W
-1.05	-1.04	-0.88	-0.08	0.38	1.75	0.92	YLR178C
0.91	1.09	0.57	0.26	0.18	-1.34	-1.66	YLR179C
0.93	1	0.96	0.05	-0.06	-1.23	-1.64	YLR180W
0.94	0.68	0.72	0.4	0.3	-1.18	-1.87	YLR185W
1.11	0.96	0.64	-0.22	0.16	-0.7	-1.97	YLR186W
1.01	0.83	1.02	-0.07	-0.14	-0.73	-1.92	YLR196W
0.82	0.52	0.97	0.35	0.27	-0.89	-2.03	YLR198C
0.91	0.59	1.01	0.41	0.07	-1.24	-1.76	YLR212C
1.7	1.04	0.41	-0.61	-0.74	-0.51	-1.3	YLR214W
-0.45	-0.62	-0.58	-0.56	-0.77	2.1	0.88	YLR216C
-0.38	-0.47	-0.88	-0.75	-0.6	1.86	1.22	YLR217W
-0.79	-0.57	-0.41	-0.67	-0.68	1.78	1.34	YLR219W
1.39	0.85	0.97	-0.32	-0.41	-1.46	-1	YLR221C
1.49	0.75	0.33	0.33	-0.14	-1.11	-1.65	YLR223C
1.21	0.73	0.99	-0.08	-0.02	-1.52	-1.31	YLR243W
1.42	0.73	0.55	0.15	-0.07	-1.05	-1.74	YLR244C
0.76	0.72	0.81	-0.07	0.63	-0.78	-2.06	YLR249W
-1.26	-0.97	-0.94	0.31	0.38	1.61	0.87	YLR258W
-0.29	-0.45	-1.3	-0.5	-0.39	1.05	1.88	YLR259C
0.59	0.38	1.11	0.72	0.16	-1.05	-1.91	YLR264W
-0.65	-0.42	-0.29	-0.64	-0.99	1.01	1.98	YLR267W
-0.72	-0.85	-0.61	-0.21	-0.45	2.16	0.68	YLR270W
-1.02	-0.58	-0.65	-0.36	-0.48	1.75	1.34	YLR271W
1.32	1.07	0.62	-0.16	-0.19	-1.53	-1.14	YLR280C
1.45	0.84	0.68	-0.23	-0.29	-0.7	-1.76	YLR293C
-0.66	-1.15	-0.64	-0.46	-0.08	1.75	1.24	YLR294C
-0.54	-0.78	-0.96	-0.41	-0.42	1.66	1.44	YLR295C
-1.74	-0.14	-0.2	-0.25	-0.36	1.59	1.09	YLR297W
-0.96	-0.69	-0.99	-0.55	0.31	1.3	1.59	YLR299W
0.08	0.59	1.22	0.44	0.54	-0.9	-1.96	YLR300W
-1.2	-0.74	-0.81	-0.15	0.07	0.97	1.84	YLR304C
-0.78	-0.74	-0.5	-0.33	-0.62	0.9	2.07	YLR311C
-0.91	-0.96	-0.31	-0.14	-0.59	0.92	1.99	YLR312C
0.66	0.63	0.75	0.65	0.31	-0.96	-2.04	YLR325C
-0.96	-1.07	-0.75	-0.13	0	1.73	1.17	YLR327C
0.84	0.98	0.82	0.35	-0.07	-1.1	-1.82	YLR339C
0.7	0.79	0.93	0.44	0.13	-1.07	-1.92	YLR340W
0.26	0.74	0.84	0.82	0.44	-1.5	-1.6	YLR342W
0.95	0.83	0.6	0.14	0.41	-0.95	-1.99	YLR344W
-1.2	-0.81	-0.73	-0.12	-0.1	1.48	1.48	YLR345W
1.4	1.1	0.56	-0.25	-0.22	-1.43	-1.16	YLR355C
-1.29	0	-0.62	-0.29	-0.33	1.79	0.74	YLR356W
0.08	0.7	1.14	0.28	0.72	-1.05	-1.87	YLR359W
0.8	0.75	0.77	0.43	0.27	-1.07	-1.95	YLR367W
0.46	0.73	1.05	0.28	0.44	-0.97	-1.98	YLR372W
1.58	0.87	0.52	-0.57	-0.61	-0.13	-1.66	YLR380W
0.98	0.77	0.75	0.48	0.01	-1.79	-1.2	YLR384C
0.84	0.3	1.07	0.56	0.22	-1.14	-1.85	YLR388W
-1.01	-1.1	-0.44	-0.58	0.32	1.11	1.7	YLR395C
0.91	1.29	1.14	-0.65	-0.4	-1.21	-1.08	YLR397C
0.98	1.16	1.05	-0.26	-0.3	-1.29	-1.34	YLR409C
0.8	0.91	1.05	0.1	0.09	-1.3	-1.65	YLR413W
-1.44	-0.9	0.04	-0.55	0.16	1.59	1.11	YLR423C
0.89	0.79	0.93	0.24	0.17	-1.33	-1.69	YLR432W
0.75	0.79	1.25	-0.63	0.47	-1.6	-1.03	YLR435W
1.2	0.88	0.6	0.17	0.08	-1.22	-1.7	YLR448W
0.93	0.94	1.11	-0.2	0.02	-1.59	-1.2	YLR449W
-0.92	-0.16	-0.63	-0.79	-0.39	2.07	0.82	YML004C
-0.83	-0.6	-0.01	-0.65	-0.93	1.25	1.77	YML042W
-1.01	-0.62	-0.21	-0.65	-0.58	1.3	1.76	YML054C
0.73	0.61	1.15	0.57	-0.17	-1.78	-1.11	YML059C
0.66	0.66	0.83	0.46	0.43	-1.09	-1.96	YML063W
-1.15	-0.87	-1.1	0.26	0.22	1.14	1.51	YML100W
-0.73	-1.13	-0.75	-0.35	-0.02	1.38	1.61	YML120C
0.97	0.96	1.02	-0.03	-0.13	-1.68	-1.12	YML123C
-1.19	-0.98	-0.46	-0.07	-0.21	1.72	1.19	YML128C
0.81	1.09	1.22	0.07	-0.66	-1.17	-1.36	YMR011W
1.35	0.83	0.91	-0.24	-0.18	-1.3	-1.38	YMR014W
-0.89	-0.89	-0.38	-0.43	-0.43	1.91	1.12	YMR030W
-1.17	-0.95	-0.42	-0.39	0.27	0.72	1.95	YMR031C
1.63	0.98	0.21	-0.05	-0.22	-1.41	-1.13	YMR037C
1.28	0.79	0.92	-0.06	-0.22	-1.08	-1.63	YMR049C
-1.02	-1.03	-0.43	-0.42	0.11	0.83	1.96	YMR056C
1.3	0.84	0.81	-0.04	-0.15	-1.12	-1.63	YMR058W
1.18	1.2	0.33	0.31	-0.25	-1.33	-1.46	YMR080C
-0.93	-1.05	-0.14	-0.73	-0.13	1.39	1.59	YMR081C
-1.18	-0.84	-0.21	-0.54	0.32	2.08	0.37	YMR090W
1.25	1.19	0.67	-0.26	-0.34	-0.91	-1.6	YMR093W
-1.3	-0.91	-0.74	0.25	-0.03	1.62	1.12	YMR105C
-0.76	-0.63	-0.58	-0.67	-0.51	1.58	1.57	YMR107W
1.47	1.15	0.6	-0.46	-0.61	-1.44	-0.7	YMR108W
-0.97	-0.75	-0.67	-0.61	-0.05	1.69	1.36	YMR110C
-1.38	-0.26	1.39	-0.76	-0.67	0.24	1.42	YMR114C
0.77	0.38	0.76	0.74	0.31	-0.94	-2.04	YMR121C
0.97	1.16	0.99	-0.48	-0.09	-0.91	-1.63	YMR128W
1.31	1.05	0.32	0.32	-0.23	-1.54	-1.24	YMR129W
0.88	0.77	1	0.25	-0.19	-0.7	-2.01	YMR131C
-1.41	-0.78	-0.39	-0.41	0.16	1.57	1.26	YMR133W
-1.52	-0.57	0.33	-0.53	-0.46	1.36	1.38	YMR136W
-0.86	-0.39	-0.93	-0.35	-0.56	1.66	1.43	YMR139W
1.04	0.93	0.86	-0.21	0.25	-1.21	-1.65	YMR146C
-0.74	-0.69	-0.72	-0.53	-0.31	2.05	0.94	YMR170C
-0.99	-1.07	0.02	-0.07	-0.81	1.41	1.5	YMR181C
-1.03	-0.81	-0.28	-0.38	-0.54	1.23	1.8	YMR191W
-1.23	-0.65	-0.6	-0.54	0.4	1.95	0.67	YMR195W
-1.12	-1.06	-0.93	0.26	0.25	1.65	0.95	YMR196W
0.64	0.97	0.28	0.07	0.85	-2.08	-0.73	YMR199W
0.91	0.5	0.91	0.27	0.5	-1.44	-1.64	YMR202W
0.67	0.64	1.09	0.31	0.33	-1.24	-1.79	YMR205C
-0.78	-0.71	-0.41	-0.4	-0.77	1.19	1.88	YMR206W
1.02	0.98	1.05	-0.18	-0.37	-0.71	-1.79	YMR217W
0.99	0.95	1.07	0.02	-0.24	-1.27	-1.52	YMR229C
1.14	0.74	1.14	-0.05	-0.2	-1.33	-1.43	YMR239C
1.24	0.98	0.67	-0.06	-0.02	-1.18	-1.63	YMR241W
0.84	0.76	0.87	0.33	0.24	-1.2	-1.83	YMR242C
0.88	1.17	1.18	-0.22	-0.51	-1.13	-1.37	YMR246W
-1.5	-1.03	-0.54	0.14	0.41	1.21	1.32	YMR250W
1.18	1.2	0.72	-0.03	-0.63	-0.87	-1.58	YMR259C
-0.86	-0.9	-0.12	-0.77	-0.38	1.7	1.33	YMR271C
1.19	0.88	0.86	0.06	-0.16	-1.27	-1.56	YMR290C
-1.81	-0.81	-0.17	0.05	0.38	0.94	1.42	YMR297W
0.27	0.32	0.69	0.56	1.11	-1.02	-1.94	YMR300C
0.59	0.41	0.94	0.44	0.72	-1.39	-1.71	YMR305C
1.11	0.78	0.91	0.19	-0.13	-1.14	-1.73	YMR308C
1.32	1.24	0.53	-0.23	-0.35	-1.06	-1.46	YMR309C
1.53	0.47	0.66	-0.64	-0.55	0.32	-1.79	YMR310C
-0.59	-0.84	-0.51	-0.52	-0.58	2	1.04	YMR311C
0.94	0.83	0.71	0.29	0.21	-1.06	-1.92	YMR318C
0.97	0.77	0.67	0.24	0.4	-1.23	-1.81	YMR321C
-0.74	-0.65	-0.45	-0.36	-0.91	1.45	1.67	YMR322C
1.05	0.78	0.9	-0.04	0.26	-1.68	-1.26	YNL002C
-0.47	-1.02	-0.38	-0.55	-0.58	1.02	1.98	YNL009W
0.91	0.8	1.05	0.22	-0.13	-1.79	-1.07	YNL013C
-0.97	-1.19	-0.45	-0.18	-0.1	1.77	1.12	YNL015W
0.52	-0.34	-0.98	-0.95	-0.99	1.43	1.31	YNL036W
-0.86	-0.59	-0.74	-0.43	-0.52	1.54	1.6	YNL037C
-1.17	-0.78	-0.15	-0.63	-0.17	1.87	1.04	YNL045W
-0.87	-0.88	-0.73	-0.55	0.03	1.24	1.76	YNL052W
-0.86	-1.25	-0.45	-0.13	-0.24	1.74	1.18	YNL055C
1.19	0.97	0.96	-0.15	-0.29	-1.28	-1.4	YNL060C
1.05	0.43	0.54	-0.58	-0.71	-1.84	1.1	YNL061W
0.84	1.11	1.11	0.01	-0.35	-1.45	-1.27	YNL062C
0.82	1.1	0.59	-0.17	0.6	-1.37	-1.58	YNL065W
0.49	0.54	0.89	0.38	0.5	-0.56	-2.23	YNL069C
1.06	0.8	0.94	0.22	-0.09	-1.54	-1.39	YNL075W
0.91	0.64	0.81	0.24	0.51	-1.47	-1.62	YNL087W
-1.28	0.33	-0.48	-0.46	-0.89	1.65	1.14	YNL093W
0.94	0.79	0.52	0.37	0.45	-1.26	-1.82	YNL096C
-1.05	-1.1	-0.77	-0.12	0.2	1.52	1.32	YNL100W
1.03	0.85	1.08	-0.04	-0.1	-1.19	-1.62	YNL110C
1.2	0.62	0.73	0.23	0.2	-1.24	-1.73	YNL111C
0.93	0.93	1.17	-0.11	-0.35	-0.82	-1.75	YNL112W
-1.21	-0.57	-0.25	-0.92	0.09	1.75	1.11	YNL115C
0.69	0.53	0.87	0.34	0.36	-0.59	-2.21	YNL119W
1.08	1.01	0.8	0.02	-0.08	-1.69	-1.14	YNL120C
1.34	1	0.48	0.06	-0.11	-1.22	-1.57	YNL123W
1.5	1.08	0.62	-0.55	-0.32	-1	-1.34	YNL124W
1.04	1.02	0.96	-0.07	-0.18	-1.2	-1.57	YNL132W
-0.62	-0.69	-0.69	-0.66	-0.49	1.72	1.42	YNL134C
0.9	1	0.97	-0.02	0.04	-1.32	-1.58	YNL141W
-0.97	-1.04	-0.71	-0.37	0.14	1.48	1.46	YNL144C
-1.27	-1.17	-0.42	-0.07	0.19	1.49	1.26	YNL160W
0.67	0.61	0.66	0.32	0.71	-0.88	-2.09	YNL162W
-0.94	-1.11	-0.74	0.03	-0.02	1.88	0.89	YNL173C
1.06	0.73	1.02	-0.21	-0.11	-2	-0.5	YNL174W
1.06	0.67	0.99	0.18	-0.08	-0.92	-1.89	YNL175C
1.07	0.9	1.17	-0.26	-0.2	-1.3	-1.37	YNL182C
1.2	1.49	0.28	-0.13	-0.36	-1.07	-1.41	YNL189W
-0.81	-0.61	-0.55	-0.73	-0.44	1.72	1.41	YNL194C
-1.14	-1	-0.71	-0.04	0.16	1.83	0.9	YNL200C
-0.76	-0.72	-0.44	-0.87	-0.33	1.53	1.59	YNL202W
1.15	1.1	0.84	-0.18	-0.26	-1.56	-1.1	YNL207W
0.9	0.95	0.51	0.01	0.18	-2.21	-0.33	YNL216W
0.9	0.86	1.04	0.29	-0.18	-1.46	-1.46	YNL221C
1.17	0.45	0.68	0.36	0.36	-1.28	-1.75	YNL235C
0.95	0.77	0.69	0.4	0.19	-1.08	-1.91	YNL247W
1.18	0.69	1.11	0.03	-0.26	-1.46	-1.3	YNL256W
-0.91	-0.86	-0.54	-0.23	-0.39	2.04	0.88	YNL274C
0.93	0.57	0.96	0.4	0.15	-1.21	-1.8	YNL301C
0.96	0.61	0.65	0.33	0.4	-0.9	-2.05	YNL302C
0.9	0.49	0.94	0.65	0.08	-1.56	-1.48	YNL303W
-1.04	-0.77	-0.28	-0.73	0.21	2.1	0.51	YNL305C
0.95	1.09	1.26	-0.67	-0.27	-1.26	-1.1	YNL308C
1.42	0.97	0.57	-0.03	-0.3	-1	-1.62	YNL313C
1.1	0.84	0.87	0.22	-0.11	-1.39	-1.53	YNL327W
-1.02	-0.78	-0.6	-0.54	-0.08	1.26	1.76	YNR001C
-0.72	-0.76	-0.61	-0.42	-0.61	1.84	1.27	YNR007C
1.56	0.35	0.43	0.18	0.35	-1.49	-1.37	YNR009W
0.76	0.69	1.28	0.07	0.07	-1.74	-1.13	YNR025C
1.51	1.1	0.54	-0.27	-0.6	-0.86	-1.43	YNR038W
1.2	0.86	0.9	-0.05	-0.23	-0.93	-1.76	YNR043W
1.77	0.54	0.7	-0.24	-0.35	-1.22	-1.2	YNR046W
1.16	0.92	0.28	-0.15	0.46	-0.66	-2.02	YNR050C
0.87	0.68	0.88	0.46	0.14	-1.2	-1.82	YNR051C
0.82	1.03	0.91	0.12	0.03	-1.12	-1.78	YNR053C
1.27	0.84	0.9	0	-0.27	-1.2	-1.54	YNR054C
0.89	0.97	0.72	0.44	-0.03	-1.73	-1.26	YNR067C
-0.69	-0.67	-0.45	-0.61	-0.55	2.12	0.85	YNR073C
0.96	1.18	0.85	0.04	-0.31	-1.1	-1.63	YNR075W
1.22	1.54	0.01	-0.1	-0.18	-1.17	-1.31	YOL007C
1.22	0.81	0.61	0.17	0.11	-1.2	-1.73	YOL010W
0.53	0.71	1.49	-0.06	0.08	-1.03	-1.72	YOL014W
1.19	1.47	0.54	-0.69	-0.64	-0.43	-1.44	YOL019W
-1.13	-0.84	-0.05	-0.19	-0.75	1.37	1.6	YOL117W
0.89	0.55	1.03	0.46	0.03	-1.18	-1.79	YOL120C
0.96	0.53	0.65	0.37	0.53	-1.1	-1.93	YOL121C
-0.46	-0.64	-0.52	-1.17	-0.23	1.26	1.76	YOL126C
0.91	0.38	0.85	0.42	0.5	-1.18	-1.87	YOL127W
1.37	1.37	0	-0.46	-1.08	-0.31	-0.89	YOL130W
-1.19	-0.73	-0.09	-0.78	-0.06	1	1.85	YOL153C
-1.01	-0.52	0.15	-0.99	-0.55	1.2	1.73	YOR019W
-0.12	-0.3	-0.84	-1.08	-0.66	1.3	1.71	YOR027W
-0.46	-0.7	-0.7	-0.71	-0.52	1.94	1.13	YOR031W
-1.3	-0.27	-0.38	-0.89	-0.05	1.2	1.69	YOR035C
1.23	1.01	0.66	-0.07	-0.03	-1.23	-1.58	YOL021C
-0.77	-0.74	-0.41	-0.52	-0.61	1.97	1.09	YOL032W
0.9	0.84	0.64	0.34	0.19	-0.85	-2.05	YOL040C
-1.01	-0.8	-0.46	-0.36	-0.44	1.72	1.36	YOL048C
-1.01	-1.08	-0.8	0.04	0.07	1.78	1	YOL053C
-1.19	-0.52	0.4	-0.54	-0.95	1.47	1.34	YOL053W
0.72	0.9	1.07	-0.02	0.3	-1.39	-1.58	YOL061W
-0.9	-0.96	-0.23	-0.4	-0.52	1.83	1.19	YOL071W
1.06	0.79	0.85	-0.18	0.28	-0.92	-1.88	YOL077C
0.85	1.09	1.28	-0.18	-0.58	-1.07	-1.39	YOL080C
-1.3	-0.84	-0.29	-0.54	0.12	1.18	1.68	YOL083W
-0.89	-0.47	0	-0.59	-0.67	0.69	1.93	YOL084W
1.03	1.13	1.16	-0.38	-0.62	-0.94	-1.37	YOL101C
-1.17	-1.23	-0.02	-0.45	0.06	1.5	1.3	YOR049C
-0.87	-0.62	-0.35	-0.4	-0.62	2.17	0.68	YOR052C
0.78	0.7	0.92	0.35	0.31	-1.23	-1.82	YOR063W
-0.82	-0.9	-0.64	-0.69	0.12	1.04	1.88	YOR065W
0.63	0.76	1.01	-1.31	-0.62	-1.41	0.95	YOR091W
1.03	0.49	0.92	0.39	0.2	-1.41	-1.63	YOR096W
-1.16	-0.77	-0.09	-0.34	-0.49	0.88	1.98	YOR100C
1.06	1.18	0.59	0.23	-0.27	-1.63	-1.17	YOR116C
0.56	0.53	0.98	0.57	0.43	-1.25	-1.84	YOR133W
-1.4	-0.87	-0.32	-0.39	0.19	1.63	1.16	YOR136W
1.29	0.75	0.87	-0.04	-0.36	-0.65	-1.86	YOR146W
0.98	0.86	0.9	0.33	-0.1	-1.42	-1.54	YOR153W
-1.21	-0.87	-0.48	0.07	-0.2	2	0.69	YOR161C
0.59	0.37	1.19	0.57	0.26	-1.13	-1.85	YOR167C
-0.94	-0.83	-0.25	-0.47	-0.6	1.69	1.4	YOR178C
0.79	0.26	0.69	0.8	0.44	-0.99	-2	YOR182C
0.8	0.86	1.28	-0.01	-0.35	-0.77	-1.81	YOR206W
-0.89	-0.95	-0.66	-0.34	-0.21	1.73	1.31	YOR215C
-0.8	-1.09	-0.21	-0.29	-0.61	1.8	1.2	YOR220W
1.05	0.59	0.83	0.21	0.09	-0.68	-2.09	YOR224C
-2.19	0.13	0.65	-0.51	0.52	1.04	0.36	YOR230W
1.14	0.91	1.14	-0.56	-0.13	-1.5	-1	YOR233W
0.89	0.89	0.65	0.37	0.23	-1.17	-1.86	YOR234C
